storeid,year,state,southj,centralj,northj,pa1,pa2,chain,co_owned,hrsopen,price,fte,wage_st
31,92,1,0,1,0,0,0,2,0,11.0,4.6499996,15.0,5.25
31,93,1,0,1,0,0,0,2,0,12.5,4.6900001,18.5,5.0500002
32,92,1,0,0,1,0,0,3,0,11.5,3.1999998,23.25,4.5
32,93,1,0,0,1,0,0,3,0,11.5,4.6100001,17.5,5.0500002
33,92,1,0,0,1,0,0,3,0,17.0,3.04,26.0,5.0
33,93,1,0,0,1,0,0,3,0,17.0,3.2199998,16.5,5.0500002
34,92,1,0,0,1,0,0,3,1,11.5,3.1999998,15.5,4.9499998
34,93,1,0,0,1,0,0,3,1,11.5,3.0599998999999998,17.5,5.0500002
36,92,1,0,1,0,0,0,4,0,13.0,4.5,18.0,5.5
36,93,1,0,1,0,0,0,4,0,12.5,3.03,33.5,5.0500002
38,92,1,0,1,0,0,0,1,0,17.0,2.98,30.0,4.25
38,93,1,0,1,0,0,0,1,0,17.5,2.5599998999999998,26.0,5.0500002
40,92,0,0,0,0,1,0,1,0,16.5,2.5999999,27.0,4.25
40,93,0,0,0,0,1,0,1,0,17.5,2.6700001,25.5,4.25
41,92,0,0,0,0,1,0,1,0,16.5,2.6500001,19.5,4.25
41,93,0,0,0,0,1,0,1,0,17.5,2.6300001,27.0,4.25
45,92,0,0,0,0,1,0,1,0,16.0,2.6700001,18.0,4.25
45,93,0,0,0,0,1,0,1,0,17.5,2.5900002,19.0,4.25
50,92,0,0,0,0,1,0,2,0,12.0,5.4000001,14.0,4.5
50,93,0,0,0,0,1,0,2,0,13.0,4.25,17.0,4.75
51,92,0,0,0,0,1,0,2,0,13.0,4.25,10.5,4.25
51,93,0,0,0,0,1,0,2,0,13.0,4.2399998,16.5,4.25
58,92,0,0,0,0,1,0,4,1,12.0,2.6500001,23.5,4.75
58,93,0,0,0,0,1,0,4,1,12.0,2.8199999,18.0,4.5
59,92,0,0,0,0,1,0,4,0,10.5,2.6100001,10.5,4.25
59,93,0,0,0,0,1,0,4,0,10.5,2.71,12.0,4.25
60,92,0,0,0,0,1,0,4,0,11.5,2.54,25.0,4.25
60,93,0,0,0,0,1,0,4,0,12.0,2.6800001,25.0,4.25
61,92,0,0,0,0,1,0,4,1,12.0,3.29,24.0,5.5
61,93,0,0,0,0,1,0,4,1,12.0,2.8,35.5,4.75
64,92,1,0,0,1,0,0,1,0,16.0,2.96,30.5,4.5
64,93,1,0,0,1,0,0,1,0,16.0,2.9499998,22.5,5.0500002
66,92,1,0,0,1,0,0,1,0,17.0,2.96,27.0,4.25
66,93,1,0,0,1,0,0,1,0,17.0,2.9499998,35.0,5.0500002
67,92,1,0,0,1,0,0,1,0,13.5,3.3999998999999996,18.5,4.5
67,93,1,0,0,1,0,0,1,0,13.5,3.5900002,17.75,5.0500002
68,92,1,0,0,1,0,0,1,0,17.0,3.1100001,38.0,4.25
68,93,1,0,0,1,0,0,1,0,17.0,2.9499998,24.5,5.0500002
69,92,1,0,0,1,0,0,1,0,18.0,3.0699999,16.5,4.25
69,93,1,0,0,1,0,0,1,0,18.0,3.27,16.5,5.0500002
70,92,1,0,0,1,0,0,1,0,16.0,3.03,50.0,4.5
70,93,1,0,0,1,0,0,1,0,16.0,3.01,30.0,5.0500002
73,92,1,0,0,1,0,0,2,0,12.0,4.5699997,6.5,4.25
73,93,1,0,0,1,0,0,2,0,11.0,4.5299997,17.0,5.0500002
75,92,1,0,0,1,0,0,2,0,11.0,5.21,13.5,4.25
75,93,1,0,0,1,0,0,2,0,11.0,5.0699997,12.5,5.0500002
76,92,1,0,0,1,0,0,3,1,17.0,3.1599998,28.0,4.25
76,93,1,0,0,1,0,0,3,1,16.5,3.2199998,38.5,5.0500002
77,92,1,0,0,1,0,0,3,0,19.0,3.4200001,35.0,5.0
77,93,1,0,0,1,0,0,3,0,19.0,3.1699998,37.0,5.0500002
78,92,1,0,0,1,0,0,3,1,17.0,3.1599998,21.0,5.0
78,93,1,0,0,1,0,0,3,1,16.0,3.1700001,18.0,5.0500002
79,92,1,0,0,1,0,0,3,1,17.0,3.25,21.5,4.5
79,93,1,0,0,1,0,0,3,1,16.0,3.2199998,20.0,5.0500002
81,92,1,0,0,1,0,0,4,0,12.0,3.0999999,34.5,5.0
81,93,1,0,0,1,0,0,4,0,11.5,4.1599998,26.5,5.0500002
82,92,1,0,0,1,0,0,4,0,13.5,3.1499999,18.25,5.0
82,93,1,0,0,1,0,0,4,0,13.5,3.1399999,33.0,5.0500002
84,92,1,0,1,0,0,0,1,0,16.0,2.8,24.0,4.5
84,93,1,0,1,0,0,0,1,0,16.0,2.8899999,32.0,5.0500002
85,92,1,0,1,0,0,0,1,0,12.5,3.1599998,20.0,5.5
85,93,1,0,1,0,0,0,1,0,12.5,3.1700001,20.5,5.0500002
86,92,1,0,1,0,0,0,1,0,15.0,3.0999999,20.5,4.25
86,93,1,0,1,0,0,0,1,0,15.0,3.1399999,19.0,5.0500002
88,92,1,1,0,0,0,0,1,0,15.0,2.8399999,23.5,4.25
88,93,1,1,0,0,0,0,1,0,15.0,2.8599999,26.5,5.0500002
89,92,1,0,1,0,0,0,1,1,16.0,3.0799999,16.0,5.0
89,93,1,0,1,0,0,0,1,1,16.0,3.1700001,24.5,5.5
91,92,1,0,1,0,0,0,1,1,17.0,3.0599998999999998,23.0,4.25
91,93,1,0,1,0,0,0,1,1,17.0,3.21,19.0,5.0500002
92,92,1,0,1,0,0,0,1,1,15.0,3.0699999,17.0,4.25
92,93,1,0,1,0,0,0,1,1,15.0,3.1700001,20.0,5.0500002
94,92,1,0,1,0,0,0,2,0,10.0,4.420000099999999,17.5,5.0
94,93,1,0,1,0,0,0,2,0,10.0,4.369999900000001,16.0,5.0500002
95,92,1,0,1,0,0,0,2,0,10.0,4.420000099999999,23.5,4.25
95,93,1,0,1,0,0,0,2,0,10.0,4.329999900000001,10.0,5.0500002
96,92,1,0,0,1,0,0,2,0,10.0,4.73,9.5,4.25
96,93,1,0,0,1,0,0,2,0,10.5,4.579999900000001,12.5,5.0500002
97,92,1,0,1,0,0,0,2,0,10.0,4.329999900000001,10.0,4.25
97,93,1,0,1,0,0,0,2,0,10.0,4.3899999,11.0,5.0500002
98,92,1,0,1,0,0,0,2,0,10.0,4.420000099999999,14.0,4.25
98,93,1,0,1,0,0,0,2,0,10.0,4.48,12.5,5.0500002
101,92,1,0,1,0,0,0,3,0,15.0,3.4400001000000002,15.0,4.75
101,93,1,0,1,0,0,0,3,0,15.0,3.3,19.0,5.0500002
102,92,1,1,0,0,0,0,3,0,16.0,3.04,21.5,4.4000001
102,93,1,1,0,0,0,0,3,0,15.0,3.1300001,15.5,5.0500002
104,92,1,0,1,0,0,0,4,0,11.5,2.73,53.0,4.619999900000001
104,93,1,0,1,0,0,0,4,0,12.5,2.78,19.0,5.0500002
105,92,1,0,0,1,0,0,1,0,16.5,2.99,24.0,4.25
105,93,1,0,0,1,0,0,1,0,16.5,3.1999998,26.5,5.0500002
106,92,1,0,0,1,0,0,1,0,16.0,2.96,20.5,4.25
106,93,1,0,0,1,0,0,1,0,16.0,2.9499998,17.5,5.0500002
108,92,1,0,0,1,0,0,1,0,17.0,3.3399998999999996,25.0,4.25
108,93,1,0,0,1,0,0,1,0,17.0,3.4400001000000002,28.0,5.0500002
111,92,1,0,0,1,0,0,3,0,16.0,3.2399998,27.0,4.25
111,93,1,0,0,1,0,0,3,0,16.0,3.3199998999999996,30.25,5.0500002
112,92,1,0,0,1,0,0,4,0,14.0,3.0999999,20.0,5.0
112,93,1,0,0,1,0,0,4,0,12.5,4.27,23.5,5.0500002
114,92,1,0,1,0,0,0,1,0,16.0,2.97,22.5,4.75
114,93,1,0,1,0,0,0,1,0,16.5,2.99,44.0,5.25
115,92,1,0,1,0,0,0,1,0,17.0,3.0699999,36.5,4.75
115,93,1,0,1,0,0,0,1,0,17.0,3.01,17.5,5.0500002
116,92,1,0,1,0,0,0,1,0,13.0,3.6199999,17.25,4.25
116,93,1,0,1,0,0,0,1,0,13.0,3.55,31.0,5.0500002
118,92,1,0,0,1,0,0,1,0,15.0,3.02,21.5,4.25
118,93,1,0,0,1,0,0,1,0,15.0,2.99,31.0,5.0500002
119,92,1,0,0,1,0,0,1,0,16.5,2.9200001,24.5,4.75
119,93,1,0,0,1,0,0,1,0,17.5,2.8899999,28.5,5.0500002
120,92,1,0,1,0,0,0,1,1,16.0,3.1500001,19.0,4.5
120,93,1,0,1,0,0,0,1,1,16.0,3.1499999,19.0,5.0500002
124,92,1,0,1,0,0,0,1,0,15.0,3.01,16.0,4.25
124,93,1,0,1,0,0,0,1,0,15.0,3.22,28.0,5.0500002
125,92,1,0,1,0,0,0,2,0,12.5,4.099999899999999,19.0,4.5
125,93,1,0,1,0,0,0,2,0,12.0,4.5100002,9.5,5.0500002
128,92,1,0,1,0,0,0,2,1,11.0,4.25,12.25,5.0
128,93,1,0,1,0,0,0,2,1,11.0,4.1599998,13.0,5.0500002
130,92,1,0,1,0,0,0,3,1,18.0,3.1900001000000002,22.75,4.5
130,93,1,0,1,0,0,0,3,1,16.0,3.2199998,25.0,5.0500002
131,92,1,0,1,0,0,0,3,0,17.0,3.1799998,31.5,5.5
131,93,1,0,1,0,0,0,3,0,15.0,3.21,22.0,5.0500002
137,92,1,0,0,1,0,0,3,1,16.0,3.1999998,30.5,4.25
137,93,1,0,0,1,0,0,3,1,15.0,3.27,32.0,5.0500002
140,92,1,0,1,0,0,0,4,0,11.5,2.8299999,23.0,4.5
140,93,1,0,1,0,0,0,4,0,11.5,2.99,27.5,5.670000099999999
141,92,1,0,1,0,0,0,4,0,12.5,2.99,21.5,4.75
141,93,1,0,1,0,0,0,4,0,12.5,3.23,25.5,5.0500002
142,92,1,0,0,1,0,0,4,0,11.5,3.0699999,36.5,4.25
142,93,1,0,0,1,0,0,4,0,11.5,3.1599998,60.5,5.0500002
144,92,1,0,1,0,0,0,4,0,12.5,2.8199999,28.0,5.0500002
144,93,1,0,1,0,0,0,4,0,12.5,3.1399999,25.5,5.0500002
145,92,1,0,0,1,0,0,1,0,16.0,2.96,16.5,5.0
145,93,1,0,0,1,0,0,1,0,16.0,2.96,18.0,5.2800002
146,92,1,0,0,1,0,0,1,0,16.0,3.1199999,23.0,4.8000002
146,93,1,0,0,1,0,0,1,0,16.0,3.0899999,20.5,5.0500002
147,92,1,0,0,1,0,0,1,0,14.0,2.96,14.75,5.119999900000001
147,93,1,0,0,1,0,0,1,0,14.0,2.95,9.0,5.25
148,92,1,0,0,1,0,0,1,0,17.0,2.96,23.5,5.25
148,93,1,0,0,1,0,0,1,0,17.0,2.9299998,26.5,5.0500002
149,92,1,0,0,1,0,0,1,0,16.0,2.96,14.0,4.5
149,93,1,0,0,1,0,0,1,0,16.0,2.9299998,16.0,5.0500002
150,92,1,0,0,1,0,0,1,0,16.0,3.01,17.25,4.670000099999999
150,93,1,0,0,1,0,0,1,0,15.0,2.8699999,25.0,5.75
152,92,1,0,0,1,0,0,1,0,15.0,3.1399999,46.5,5.119999900000001
152,93,1,0,0,1,0,0,1,0,15.0,3.04,23.75,5.0500002
156,92,1,0,0,1,0,0,1,0,15.0,3.03,18.5,4.869999900000001
156,93,1,0,0,1,0,0,1,0,15.0,2.9000001,13.0,5.0500002
157,92,1,0,0,1,0,0,2,0,12.0,4.099999899999999,15.5,5.0
157,93,1,0,0,1,0,0,2,0,11.0,4.25,18.0,5.5
158,92,1,0,0,1,0,0,2,0,10.0,3.96,8.5,4.5
158,93,1,0,0,1,0,0,2,0,11.5,4.380000099999999,9.0,5.0500002
159,92,1,0,0,1,0,0,2,0,10.5,4.1700001,14.0,4.5
159,93,1,0,0,1,0,0,2,0,11.5,4.2799997,16.5,5.25
161,92,1,0,0,1,0,0,3,1,17.0,3.1999998,24.5,5.0
161,93,1,0,0,1,0,0,3,1,17.0,3.2199998,36.0,5.0500002
162,92,1,0,0,1,0,0,3,1,16.5,3.1999998,23.0,4.75
162,93,1,0,0,1,0,0,3,1,15.5,3.1700001,21.0,5.0500002
164,92,1,0,0,1,0,0,3,1,19.0,3.1999998,23.0,5.0
164,93,1,0,0,1,0,0,3,1,17.0,3.2199998,15.5,5.0500002
165,92,1,0,0,1,0,0,4,0,12.5,3.0099998,28.0,5.0
165,93,1,0,0,1,0,0,4,0,12.5,3.0799999,22.5,5.0500002
166,92,1,0,0,1,0,0,4,0,11.5,2.8599999,29.0,4.75
166,93,1,0,0,1,0,0,4,0,12.5,3.21,21.5,5.0500002
169,92,1,0,0,1,0,0,1,1,16.0,3.0799999,32.5,5.0
169,93,1,0,0,1,0,0,1,1,16.0,3.21,27.0,5.0500002
170,92,1,0,0,1,0,0,1,1,16.0,3.2,23.0,5.0
170,93,1,0,0,1,0,0,1,1,16.0,3.5799999,34.0,5.0500002
172,92,1,0,0,1,0,0,1,0,12.5,3.1999998,17.0,4.75
172,93,1,0,0,1,0,0,1,0,13.0,3.1700001,21.5,5.0500002
173,92,1,0,0,1,0,0,1,0,17.5,2.99,36.0,4.8499999
173,93,1,0,0,1,0,0,1,0,18.0,3.03,31.0,5.0500002
174,92,1,0,0,1,0,0,1,0,16.0,3.04,25.0,4.75
174,93,1,0,0,1,0,0,1,0,16.0,2.9299998,33.0,5.0500002
178,92,1,0,0,1,0,0,2,1,10.0,4.099999899999999,22.0,4.25
178,93,1,0,0,1,0,0,2,1,10.5,4.5900002,9.0,5.0500002
179,92,1,0,0,1,0,0,2,0,10.5,4.1599998,11.0,4.25
179,93,1,0,0,1,0,0,2,0,11.0,4.27,11.0,5.0500002
180,92,1,0,0,1,0,0,2,0,11.0,4.73,13.5,4.5
180,93,1,0,0,1,0,0,2,0,12.0,4.9499998,12.75,5.0500002
182,92,1,1,0,0,0,0,2,0,11.0,4.73,13.5,4.5
182,93,1,1,0,0,0,0,2,0,10.0,4.7799997,10.5,5.0500002
183,92,1,0,0,1,0,0,2,0,11.0,4.73,18.0,4.619999900000001
183,93,1,0,0,1,0,0,2,0,10.5,4.8000002,22.0,5.0500002
186,92,1,0,0,1,0,0,3,0,16.0,3.0899999,24.0,4.75
186,93,1,0,0,1,0,0,3,0,16.0,3.1799998,25.0,5.0500002
187,92,1,0,0,1,0,0,3,0,15.0,3.27,17.0,5.619999900000001
187,93,1,0,0,1,0,0,3,0,15.0,3.2199998,16.75,5.0500002
189,92,1,0,0,1,0,0,3,0,15.0,3.3099998999999998,14.5,4.75
189,93,1,0,0,1,0,0,3,0,15.0,3.2199998,12.5,5.0500002
190,92,1,0,0,1,0,0,3,1,16.0,3.1500001,30.0,5.0
190,93,1,0,0,1,0,0,3,1,15.0,3.8,26.0,5.0500002
192,92,1,0,0,1,0,0,4,0,12.0,2.8199999,29.0,4.869999900000001
192,93,1,0,0,1,0,0,4,0,12.5,3.1499999,22.5,5.25
193,92,1,0,0,1,0,0,4,0,11.0,2.79,10.5,4.5
193,93,1,0,0,1,0,0,4,0,13.0,3.1700001,11.5,5.0500002
195,92,1,0,0,1,0,0,4,0,11.5,2.9699998,18.0,4.25
195,93,1,0,0,1,0,0,4,0,12.5,3.8899998999999994,23.5,5.0500002
196,92,1,0,0,1,0,0,4,1,11.5,2.8599999,21.5,5.0
196,93,1,0,0,1,0,0,4,1,12.5,4.0099998,18.0,5.0500002
197,92,1,0,0,1,0,0,1,0,17.0,2.77,32.0,5.0
197,93,1,0,0,1,0,0,1,0,17.0,2.9499998,20.5,5.0500002
199,92,1,0,0,1,0,0,2,0,10.0,3.99,9.0,4.3499999
199,93,1,0,0,1,0,0,2,0,10.5,4.2600002,16.5,5.0500002
200,92,1,0,0,1,0,0,1,0,18.0,2.95,33.0,4.25
200,93,1,0,0,1,0,0,1,0,17.5,2.97,29.0,5.0500002
201,92,1,0,0,1,0,0,1,0,17.0,3.03,19.5,4.5
201,93,1,0,0,1,0,0,1,0,17.0,2.9499998,30.0,5.0500002
202,92,1,0,0,1,0,0,1,0,19.0,2.75,41.0,4.25
202,93,1,0,0,1,0,0,1,0,19.0,2.74,22.5,5.0500002
203,92,1,0,0,1,0,0,1,0,17.0,2.96,17.0,4.25
203,93,1,0,0,1,0,0,1,0,17.0,2.9499998,24.0,5.0500002
204,92,1,0,0,1,0,0,1,0,17.5,3.1199999,18.25,4.25
204,93,1,0,0,1,0,0,1,0,17.5,3.0899999,21.75,5.0500002
207,92,1,0,0,1,0,0,2,1,12.0,4.25,17.0,4.75
207,93,1,0,0,1,0,0,2,1,12.0,4.21,13.5,5.1999998
208,92,1,0,0,1,0,0,3,1,17.0,2.98,32.0,4.619999900000001
208,93,1,0,0,1,0,0,3,1,14.0,3.1699998,24.0,5.0500002
212,92,1,1,0,0,0,0,1,0,16.0,2.78,22.75,4.5
212,93,1,1,0,0,0,0,1,0,16.0,2.8799999,30.5,5.0500002
213,92,1,1,0,0,0,0,1,1,17.5,2.8199999,18.5,4.5500002
213,93,1,1,0,0,0,0,1,1,17.5,2.9299998,24.75,5.0500002
214,92,1,1,0,0,0,0,1,0,16.0,2.8199999,20.0,4.619999900000001
214,93,1,1,0,0,0,0,1,0,16.25,2.9299998,22.5,5.0500002
215,92,1,1,0,0,0,0,1,0,16.0,2.8599999,18.0,4.5
215,93,1,1,0,0,0,0,1,0,16.0,2.7,28.0,5.0500002
216,92,1,1,0,0,0,0,2,0,10.5,4.7799997,10.5,4.25
216,93,1,1,0,0,0,0,2,0,10.5,4.7399998,14.0,5.0500002
217,92,1,1,0,0,0,0,2,1,10.0,3.8800001,10.5,4.25
217,93,1,1,0,0,0,0,2,1,10.5,3.99,9.0,5.0500002
218,92,1,1,0,0,0,0,2,1,10.0,3.9299998,11.0,4.3499999
218,93,1,1,0,0,0,0,2,1,11.0,3.8700001000000004,9.5,5.0500002
219,92,1,1,0,0,0,0,2,1,10.0,3.99,10.5,4.25
219,93,1,1,0,0,0,0,2,1,10.5,4.1999998,15.5,5.0500002
220,92,1,1,0,0,0,0,2,0,10.0,4.7799997,12.5,4.25
220,93,1,1,0,0,0,0,2,0,10.0,4.7399998,12.0,5.0500002
222,92,1,1,0,0,0,0,3,1,12.5,3.03,17.0,4.25
222,93,1,1,0,0,0,0,3,1,11.5,2.9099998,12.5,5.0500002
225,92,1,1,0,0,0,0,3,1,17.0,2.8800001,19.5,4.75
225,93,1,1,0,0,0,0,3,1,17.0,2.96,28.5,5.0500002
229,92,1,0,0,1,0,0,1,0,13.5,2.96,26.0,4.5
229,93,1,0,0,1,0,0,1,0,13.5,2.8899999,30.5,5.5
230,92,1,0,0,1,0,0,1,0,17.0,2.9200001,15.5,4.25
230,93,1,0,0,1,0,0,1,0,17.0,2.9299998,26.5,5.0500002
232,92,1,0,0,1,0,0,1,0,16.0,2.96,24.0,4.75
232,93,1,0,0,1,0,0,1,0,15.0,2.9499998,27.0,5.0500002
233,92,1,0,0,1,0,0,1,0,16.0,3.0699999,25.5,4.6500001
233,93,1,0,0,1,0,0,1,0,16.0,2.9299998,21.5,5.0500002
237,92,1,0,0,1,0,0,1,0,16.0,3.0699999,21.5,4.25
237,93,1,0,0,1,0,0,1,0,15.5,2.8800001,21.5,5.0500002
238,92,1,0,0,1,0,0,2,1,12.0,4.420000099999999,14.0,4.75
238,93,1,0,0,1,0,0,2,1,12.0,4.420000099999999,37.5,5.0500002
239,92,1,0,0,1,0,0,2,0,13.5,4.7399998,20.0,4.25
239,93,1,0,0,1,0,0,2,0,12.5,4.21,11.5,5.0500002
240,92,1,0,0,1,0,0,3,1,17.0,3.2599998,35.5,5.0999999
240,93,1,0,0,1,0,0,3,1,17.0,3.1500001,25.5,5.0500002
242,92,1,0,0,1,0,0,3,1,17.0,3.1799998,33.0,5.25
242,93,1,0,0,1,0,0,3,1,16.0,3.2199998,20.0,5.0500002
243,92,1,0,0,1,0,0,3,1,16.5,2.8299999,22.5,4.5
243,93,1,0,0,1,0,0,3,1,15.5,3.2199998,21.0,5.0500002
245,92,1,0,0,1,0,0,3,0,13.5,3.24,22.0,5.5
245,93,1,0,0,1,0,0,3,0,13.0,3.27,18.0,5.0500002
248,92,1,0,0,1,0,0,4,0,16.0,2.97,22.0,4.75
248,93,1,0,0,1,0,0,4,0,16.0,4.3499999,23.0,5.0500002
249,92,1,1,0,0,0,0,1,0,15.0,3.1399999,13.0,4.369999900000001
249,93,1,1,0,0,0,0,1,0,15.0,2.96,19.0,5.0500002
253,92,1,1,0,0,0,0,3,1,13.0,4.5900002,13.5,4.869999900000001
253,93,1,1,0,0,0,0,3,1,16.0,4.619999900000001,14.0,5.0500002
258,92,1,1,0,0,0,0,1,0,16.0,2.8799999,18.0,4.25
258,93,1,1,0,0,0,0,1,0,18.0,2.8600001,32.0,5.0500002
260,92,1,1,0,0,0,0,1,1,16.0,2.8699999,24.0,4.25
260,93,1,1,0,0,0,0,1,1,16.0,2.96,22.0,5.0500002
262,92,1,1,0,0,0,0,1,0,16.5,3.0699999,16.5,4.25
262,93,1,1,0,0,0,0,1,0,17.5,2.97,14.25,5.0500002
264,92,1,1,0,0,0,0,1,0,15.0,2.8099998999999998,7.0,4.25
264,93,1,1,0,0,0,0,1,0,16.0,3.0999999,16.5,5.0500002
267,92,1,1,0,0,0,0,1,0,16.0,2.5,19.5,4.25
267,93,1,1,0,0,0,0,1,0,16.0,2.8399999,47.5,5.0500002
268,92,1,1,0,0,0,0,1,1,15.0,2.72,23.0,5.0
268,93,1,1,0,0,0,0,1,1,15.0,2.5599998999999998,23.25,5.0500002
269,92,1,1,0,0,0,0,2,1,10.0,3.1399999,10.0,4.4499998
269,93,1,1,0,0,0,0,2,1,11.0,3.99,15.5,5.0500002
271,92,1,1,0,0,0,0,2,1,11.0,4.150000100000001,8.5,5.0
271,93,1,1,0,0,0,0,2,1,12.0,3.9099998,10.5,5.0500002
272,92,1,1,0,0,0,0,2,1,11.0,4.0299997,12.5,5.0500002
272,93,1,1,0,0,0,0,2,1,12.0,3.99,12.0,5.25
273,92,1,1,0,0,0,0,2,1,10.0,4.0299997,13.0,4.619999900000001
273,93,1,1,0,0,0,0,2,1,10.0,4.0099998,10.5,5.0500002
275,92,1,1,0,0,0,0,2,1,11.0,4.0799999,10.0,4.25
275,93,1,1,0,0,0,0,2,1,10.5,3.99,7.0,5.0500002
277,92,1,1,0,0,0,0,2,1,10.0,4.139999899999999,12.5,4.25
277,93,1,1,0,0,0,0,2,1,10.0,3.99,11.0,5.0500002
278,92,1,1,0,0,0,0,2,1,10.0,3.8800001,8.0,4.25
278,93,1,1,0,0,0,0,2,1,11.0,4.0,8.5,5.0500002
284,92,1,1,0,0,0,0,3,1,16.0,2.8400002,20.5,4.5
284,93,1,1,0,0,0,0,3,1,16.0,2.96,15.0,5.0500002
285,92,1,1,0,0,0,0,3,1,16.0,2.73,18.5,4.75
285,93,1,1,0,0,0,0,3,1,16.0,3.03,13.5,5.0500002
287,92,1,1,0,0,0,0,3,1,16.0,2.9200001,15.0,4.5
287,93,1,1,0,0,0,0,3,1,16.0,2.96,12.5,5.0500002
288,92,1,1,0,0,0,0,3,1,16.0,2.9200001,13.0,4.75
288,93,1,1,0,0,0,0,3,1,16.0,2.9099998,12.5,5.0500002
289,92,1,1,0,0,0,0,3,1,16.0,2.9200001,10.0,4.25
289,93,1,1,0,0,0,0,3,1,15.0,4.02,10.0,5.0500002
291,92,1,1,0,0,0,0,4,0,11.5,2.76,17.0,4.5500002
291,93,1,1,0,0,0,0,4,0,11.5,2.79,16.0,5.0999999
292,92,1,1,0,0,0,0,4,0,16.0,2.8199999,20.5,4.8000002
292,93,1,1,0,0,0,0,4,0,16.0,4.5300002,23.5,5.0500002
296,92,1,0,0,1,0,0,1,1,16.0,3.02,17.0,5.3000002
296,93,1,0,0,1,0,0,1,1,16.0,2.99,14.5,5.0500002
297,92,1,0,0,1,0,0,1,1,16.0,2.95,19.5,4.25
297,93,1,0,0,1,0,0,1,1,16.0,2.97,34.0,5.0500002
299,92,1,0,0,1,0,0,2,1,11.5,4.25,9.0,5.0
299,93,1,0,0,1,0,0,2,1,11.5,4.21,14.0,5.0500002
301,92,1,0,0,1,0,0,2,1,10.5,4.25,19.0,5.0
301,93,1,0,0,1,0,0,2,1,10.5,4.099999899999999,6.5,5.0500002
304,92,1,0,0,1,0,0,3,0,17.0,4.7799997,23.0,4.5
304,93,1,0,0,1,0,0,3,0,24.0,3.7399998,21.5,5.0500002
305,92,1,0,0,1,0,0,3,1,17.0,3.5999999,13.0,4.3899999
305,93,1,0,0,1,0,0,3,1,18.0,3.73,20.0,5.0500002
310,92,1,0,0,1,0,0,4,0,11.5,3.7600002,18.0,4.25
310,93,1,0,0,1,0,0,4,0,11.5,3.9299998,17.5,5.0500002
312,92,1,1,0,0,0,0,1,0,11.0,3.21,10.0,4.25
312,93,1,1,0,0,0,0,1,0,10.0,3.3299999,7.0,5.0500002
314,92,1,1,0,0,0,0,1,0,15.0,2.9200001,17.0,4.619999900000001
314,93,1,1,0,0,0,0,1,0,16.0,2.73,22.0,5.25
