weeks_work,employed,kidcount,morekids,multi2nd,samesex,black,hisp,age_mother,hsgrad,colgrad
12,1,2,0,0,0,0,0,33,0,1
0,0,2,0,0,1,0,0,30,0,1
0,0,2,0,0,1,0,0,24,1,0
0,0,2,0,0,0,1,0,22,1,0
0,0,2,0,0,0,0,0,32,1,0
25,1,3,1,0,0,0,0,32,0,0
30,1,3,1,0,0,0,0,23,1,0
0,0,3,1,0,0,0,0,34,0,1
8,1,2,0,0,0,0,1,33,1,0
0,0,2,0,0,1,0,0,32,0,0
50,1,2,0,0,0,0,0,34,0,0
0,0,2,0,0,0,0,0,34,0,1
36,1,2,0,0,1,0,0,32,1,0
0,0,2,0,0,1,0,0,26,1,0
12,1,4,1,0,0,0,0,31,0,1
36,1,3,1,0,1,0,0,27,1,0
50,1,2,0,0,1,1,0,30,1,0
52,1,2,0,0,1,1,0,28,1,0
52,1,4,1,0,0,1,0,32,0,0
52,1,2,0,0,1,1,0,34,0,0
52,1,2,0,0,0,0,0,34,0,1
0,0,2,0,0,1,0,0,26,1,0
35,1,2,0,0,1,0,0,30,0,1
4,1,2,0,0,0,1,0,25,0,0
52,1,2,0,0,0,0,0,35,1,0
22,1,2,0,0,1,0,0,30,0,0
1,1,2,0,0,0,0,0,31,1,0
0,0,3,1,0,1,0,0,30,0,1
0,0,3,1,0,1,0,1,26,0,1
52,1,4,1,0,1,0,0,31,1,0
52,1,2,0,0,0,0,0,30,1,0
0,0,3,1,1,0,0,0,32,1,0
0,0,4,1,0,1,0,0,33,0,1
52,1,2,0,0,0,0,0,34,1,0
0,0,2,0,0,0,1,0,34,1,0
51,1,2,0,0,0,1,0,34,0,1
0,0,3,1,0,1,0,0,33,0,0
40,1,2,0,0,1,0,0,31,0,1
30,1,3,1,0,1,0,0,34,1,0
0,0,2,0,0,0,0,0,31,1,0
42,1,3,1,0,1,0,0,32,1,0
0,0,3,1,0,0,0,0,32,0,1
52,1,3,1,0,1,1,0,33,1,0
36,1,2,0,0,0,0,0,22,0,1
37,1,2,0,0,1,0,0,22,0,0
0,0,2,0,0,1,0,0,33,0,1
11,1,3,1,0,0,0,0,28,1,0
0,0,2,0,0,1,0,0,24,1,0
0,0,2,0,0,1,0,0,28,1,0
0,0,2,0,0,0,0,0,25,1,0
0,0,2,0,0,1,0,0,25,1,0
52,1,3,1,0,1,0,0,34,0,1
25,1,2,0,0,0,0,0,28,1,0
44,1,2,0,0,1,0,0,31,1,0
3,1,3,1,0,0,0,0,31,0,0
0,0,2,0,0,0,0,0,25,1,0
45,1,2,0,0,1,0,0,31,1,0
6,1,2,0,0,0,0,0,31,1,0
0,0,2,0,0,0,1,0,35,1,0
52,1,3,1,0,1,0,0,33,0,0
30,1,2,0,0,0,0,0,30,1,0
20,1,4,1,0,0,0,0,31,1,0
52,1,2,0,0,0,0,0,33,1,0
0,0,3,1,0,1,0,0,32,1,0
0,0,3,1,0,1,0,0,34,1,0
18,1,2,0,0,1,0,0,22,1,0
26,1,3,1,0,1,0,0,35,0,0
52,1,2,0,0,0,0,0,29,1,0
40,1,2,0,0,0,0,0,32,1,0
0,0,2,0,0,0,1,0,34,1,0
52,1,2,0,0,0,0,0,29,0,1
10,1,2,0,0,0,0,0,33,1,0
52,1,2,0,0,0,0,0,32,1,0
0,0,6,1,0,1,0,0,29,0,1
0,0,3,1,0,1,0,0,28,0,0
0,0,2,0,0,0,0,0,29,0,1
0,0,2,0,0,0,0,0,33,1,0
52,1,2,0,0,0,0,0,31,0,1
0,0,2,0,0,0,0,0,23,0,1
0,0,7,1,0,1,0,0,31,0,1
36,1,3,1,0,1,0,0,34,1,0
0,0,3,1,0,1,0,0,30,1,0
48,1,2,0,0,0,1,0,29,1,0
8,1,2,0,0,1,0,0,21,1,0
50,1,2,0,0,0,0,0,34,0,0
45,1,2,0,0,1,0,0,35,0,1
4,1,3,1,0,1,0,0,32,0,1
0,0,3,1,0,0,0,0,32,0,1
32,1,2,0,0,0,0,0,32,1,0
0,0,2,0,0,1,0,0,24,0,0
52,1,2,0,0,1,0,0,27,0,0
0,0,3,1,0,0,0,0,28,0,0
0,0,2,0,0,0,0,0,34,1,0
30,1,2,0,0,1,0,0,22,0,0
16,1,2,0,0,0,0,0,33,1,0
52,1,2,0,0,0,0,0,28,0,1
0,0,4,1,0,0,0,0,32,0,0
25,1,2,0,0,0,0,0,33,0,1
0,0,2,0,0,1,0,0,35,1,0
48,1,3,1,0,1,1,0,28,1,0
52,1,2,0,0,1,0,0,32,0,1
0,0,2,0,0,0,0,0,29,0,0
0,0,3,1,0,0,0,0,24,0,0
52,1,3,1,0,0,0,0,35,0,1
0,0,2,0,0,1,1,0,22,0,1
0,0,3,1,0,0,0,0,25,1,0
52,1,2,0,0,1,1,0,21,1,0
44,1,3,1,0,1,0,0,34,1,0
0,0,3,1,0,1,0,0,26,0,1
15,1,3,1,0,1,0,0,27,1,0
52,1,3,1,0,1,0,0,33,0,0
40,1,2,0,0,0,0,0,35,1,0
52,1,2,0,0,0,0,0,35,0,1
0,0,2,0,0,1,0,0,22,1,0
42,1,4,1,0,1,0,0,34,0,1
52,1,3,1,1,1,0,0,35,0,1
36,1,2,0,0,1,0,0,31,0,1
0,0,2,0,0,0,0,0,33,1,0
0,0,2,0,0,0,0,0,26,0,0
0,0,4,1,0,0,0,0,33,0,0
44,1,2,0,0,0,0,0,28,0,1
4,1,2,0,0,0,0,0,23,1,0
0,0,3,1,0,0,0,0,30,1,0
34,1,2,0,0,0,1,0,24,1,0
39,1,2,0,0,0,0,0,32,0,1
0,0,2,0,0,0,0,0,25,1,0
0,0,3,1,0,1,0,0,35,0,0
0,0,3,1,0,1,0,0,33,0,0
12,1,2,0,0,0,1,0,26,0,0
0,0,5,1,0,1,0,0,34,0,0
52,1,2,0,0,1,0,0,35,1,0
0,0,2,0,0,0,0,0,32,0,1
0,0,2,0,0,1,0,0,23,1,0
52,1,2,0,0,1,0,0,33,1,0
0,0,2,0,0,0,0,0,24,0,0
8,1,3,1,0,0,0,0,29,0,1
40,1,3,1,0,0,0,0,31,0,0
52,1,2,0,0,0,0,0,32,1,0
52,1,3,1,0,1,0,0,33,0,1
0,0,5,1,1,1,1,0,26,0,0
52,1,2,0,0,0,0,0,34,1,0
0,0,2,0,0,0,0,0,22,0,0
0,0,2,0,0,0,0,0,25,1,0
12,1,2,0,0,1,0,0,31,1,0
52,1,3,1,0,0,0,0,33,0,1
10,1,2,0,0,1,0,0,25,1,0
51,1,3,1,0,1,0,0,30,1,0
40,1,2,0,0,0,0,0,35,1,0
52,1,2,0,0,1,0,0,35,1,0
52,1,4,1,0,1,0,0,30,0,0
0,0,4,1,0,1,0,0,31,1,0
0,0,2,0,0,0,0,0,30,1,0
52,1,3,1,0,0,0,0,32,1,0
52,1,2,0,0,0,0,0,34,1,0
0,0,2,0,0,0,0,0,32,1,0
50,1,2,0,0,1,1,0,29,1,0
12,1,2,0,0,1,0,0,26,1,0
52,1,2,0,0,1,0,0,24,1,0
0,0,3,1,0,0,0,0,33,1,0
0,0,3,1,0,1,0,0,33,0,0
0,0,2,0,0,0,1,0,32,0,0
50,1,2,0,0,1,1,0,30,0,1
0,0,2,0,0,0,0,0,26,0,0
0,0,2,0,0,0,0,0,30,0,1
0,0,3,1,0,0,0,0,35,1,0
24,1,2,0,0,0,0,0,30,0,1
52,1,2,0,0,0,0,0,30,1,0
0,0,2,0,0,1,0,0,31,0,1
30,1,3,1,0,1,0,0,26,0,1
52,1,2,0,0,1,0,0,21,0,0
0,0,3,1,0,1,0,0,32,0,1
0,0,2,0,0,0,0,0,29,0,1
0,0,2,0,0,0,0,0,32,0,0
30,1,2,0,0,1,1,0,28,1,0
10,1,2,0,0,0,0,0,31,1,0
32,1,2,0,0,0,0,0,30,0,1
3,1,2,0,0,0,0,0,29,1,0
0,0,2,0,0,0,1,0,23,0,0
52,1,2,0,0,1,0,0,34,0,0
40,1,4,1,0,1,0,0,34,1,0
3,1,3,1,0,1,0,0,32,0,1
28,1,3,1,0,0,0,0,25,1,0
46,1,2,0,0,1,0,0,23,1,0
0,0,4,1,0,1,0,0,31,0,1
0,0,4,1,0,1,0,0,35,1,0
0,0,2,0,0,0,0,0,34,1,0
0,0,3,1,0,1,0,0,27,0,0
0,0,5,1,0,1,0,0,30,1,0
0,0,2,0,0,0,0,0,27,0,1
50,1,2,0,0,0,0,0,30,0,1
0,0,2,0,0,0,0,0,32,0,0
0,0,2,0,0,1,0,0,23,1,0
0,0,2,0,0,1,1,0,26,0,0
52,1,2,0,0,0,0,0,31,0,1
52,1,2,0,0,1,0,0,35,0,1
0,0,2,0,0,1,0,0,28,1,0
40,1,2,0,0,1,0,0,30,1,0
50,1,3,1,0,0,0,0,33,1,0
0,0,2,0,0,1,0,0,33,0,0
0,0,2,0,0,0,0,0,33,0,1
0,0,3,1,0,0,1,0,31,0,0
0,0,2,0,0,1,0,0,26,1,0
6,1,3,1,0,0,0,0,29,0,0
42,1,3,1,1,1,0,0,34,1,0
0,0,3,1,0,0,0,0,34,0,0
32,1,2,0,0,0,0,0,30,0,1
0,0,2,0,0,0,0,0,33,0,1
52,1,5,1,1,1,1,0,35,1,0
0,0,3,1,1,1,0,0,32,0,1
52,1,2,0,0,0,1,0,27,1,0
0,0,2,0,0,1,1,0,29,1,0
52,1,3,1,0,0,1,0,31,1,0
48,1,5,1,0,1,0,0,34,0,1
34,1,3,1,0,1,0,0,35,0,0
0,0,2,0,0,0,0,0,27,0,1
0,0,3,1,0,1,0,0,30,0,0
41,1,2,0,0,1,0,0,33,1,0
24,1,4,1,0,0,0,0,33,0,0
46,1,3,1,0,1,1,0,35,0,1
52,1,2,0,0,0,0,0,34,1,0
49,1,2,0,0,0,0,0,32,0,1
52,1,3,1,0,0,1,0,32,1,0
36,1,2,0,0,1,0,0,25,0,1
0,0,2,0,0,0,1,0,21,0,0
12,1,3,1,0,0,1,0,32,0,1
0,0,2,0,0,1,0,0,30,0,1
0,0,2,0,0,1,0,0,32,0,0
50,1,2,0,0,0,0,0,28,1,0
0,0,2,0,0,1,0,0,24,1,0
0,0,2,0,0,0,0,0,28,1,0
26,1,2,0,0,0,0,0,26,1,0
52,1,2,0,0,1,1,0,31,1,0
11,1,2,0,0,1,0,0,23,1,0
6,1,2,0,0,0,0,0,34,1,0
12,1,2,0,0,1,0,0,23,1,0
0,0,3,1,0,0,0,0,32,1,0
0,0,3,1,0,1,1,0,26,0,0
0,0,2,0,0,1,0,0,32,1,0
52,1,3,1,0,0,0,0,33,0,1
52,1,4,1,0,1,1,0,31,0,0
52,1,2,0,0,0,0,0,29,1,0
50,1,2,0,0,0,0,0,26,1,0
0,0,3,1,0,0,0,0,26,1,0
50,1,2,0,0,1,0,1,21,0,0
0,0,2,0,0,0,0,0,27,1,0
52,1,3,1,0,0,0,0,30,1,0
51,1,2,0,0,0,0,0,31,0,1
10,1,2,0,0,1,0,0,24,1,0
0,0,2,0,0,1,0,0,21,1,0
0,0,3,1,0,1,0,0,31,1,0
0,0,2,0,0,0,0,0,31,1,0
16,1,2,0,0,1,1,0,29,0,1
0,0,2,0,0,0,0,0,32,0,1
52,1,4,1,0,1,1,0,33,0,0
0,0,2,0,0,1,0,0,27,0,1
0,0,2,0,0,1,1,0,34,1,0
0,0,4,1,0,0,0,0,31,0,1
52,1,3,1,0,0,0,0,35,1,0
22,1,3,1,0,1,0,0,25,1,0
6,1,3,1,0,1,0,0,32,0,1
26,1,2,0,0,0,0,0,32,0,0
0,0,4,1,0,0,0,0,30,0,0
52,1,3,1,0,1,0,0,34,0,1
0,0,2,0,0,1,0,0,32,0,0
30,1,2,0,0,0,0,0,30,1,0
0,0,2,0,0,1,0,0,31,0,0
12,1,2,0,0,1,0,0,22,1,0
24,1,4,1,0,1,0,0,32,1,0
0,0,2,0,0,0,0,0,30,1,0
0,0,4,1,0,1,0,0,28,0,1
52,1,2,0,0,1,0,0,24,1,0
52,1,3,1,0,1,1,0,31,0,0
0,0,2,0,0,0,0,0,26,1,0
8,1,2,0,0,0,0,0,33,1,0
26,1,2,0,0,0,0,0,33,1,0
32,1,3,1,0,0,0,0,35,0,1
0,0,2,0,0,1,0,0,32,0,1
0,0,2,0,0,1,0,0,27,1,0
0,0,2,0,0,1,0,0,22,0,1
0,0,2,0,0,1,0,0,23,0,1
0,0,4,1,0,0,0,1,26,0,0
28,1,2,0,0,0,0,0,27,0,0
52,1,4,1,0,1,1,0,25,1,0
52,1,3,1,0,1,1,0,31,0,1
40,1,2,0,0,1,0,0,34,1,0
0,0,2,0,0,0,0,0,21,0,0
0,0,2,0,0,0,0,0,33,0,1
0,0,2,0,0,0,0,0,34,0,1
26,1,2,0,0,1,0,0,30,0,0
48,1,2,0,0,1,1,0,34,0,1
9,1,3,1,0,1,0,0,27,1,0
12,1,2,0,0,1,0,0,30,0,1
52,1,2,0,0,1,0,0,33,1,0
0,0,3,1,0,0,0,1,29,1,0
6,1,2,0,0,1,0,0,21,0,0
0,0,2,0,0,1,0,0,35,0,0
26,1,3,1,0,1,0,0,29,1,0
0,0,2,0,0,0,0,0,34,0,1
52,1,2,0,0,1,1,0,25,0,1
52,1,3,1,0,1,0,0,35,1,0
0,0,2,0,0,1,0,0,27,0,1
0,0,4,1,0,0,0,0,34,1,0
40,1,2,0,0,0,1,0,32,0,1
50,1,2,0,0,1,0,0,33,0,1
50,1,2,0,0,1,0,0,25,1,0
0,0,2,0,0,0,0,0,25,0,0
50,1,2,0,0,0,0,0,33,0,1
52,1,2,0,0,1,0,0,29,1,0
9,1,2,0,0,1,0,0,32,0,1
0,0,2,0,0,0,0,0,31,1,0
17,1,2,0,0,1,0,0,27,0,0
52,1,3,1,0,1,0,0,29,1,0
52,1,2,0,0,1,1,0,34,1,0
0,0,4,1,0,0,1,0,25,1,0
20,1,7,1,0,1,1,0,31,0,0
50,1,2,0,0,1,0,0,35,1,0
28,1,2,0,0,0,0,0,26,0,1
0,0,3,1,1,0,0,0,32,1,0
0,0,2,0,0,1,0,0,33,1,0
16,1,2,0,0,1,0,0,24,0,1
3,1,2,0,0,0,0,0,25,1,0
36,1,2,0,0,1,0,0,29,0,1
26,1,2,0,0,0,0,0,32,0,0
0,0,2,0,0,1,0,0,25,1,0
52,1,3,1,0,1,1,0,27,1,0
0,0,3,1,0,1,0,0,29,0,0
52,1,2,0,0,0,1,0,28,0,1
0,0,2,0,0,0,0,0,25,1,0
0,0,2,0,0,1,0,0,21,1,0
48,1,4,1,0,1,1,0,29,0,0
0,0,2,0,0,1,0,0,30,1,0
25,1,2,0,0,0,0,0,23,0,0
12,1,2,0,0,1,0,0,27,0,0
38,1,3,1,0,0,0,0,29,1,0
52,1,2,0,0,0,0,0,30,0,1
12,1,3,1,0,1,0,0,32,1,0
36,1,2,0,0,0,0,0,32,0,1
52,1,2,0,0,1,1,0,32,1,0
0,0,2,0,0,0,0,0,28,1,0
12,1,2,0,0,1,0,0,28,0,0
0,0,2,0,0,0,0,0,29,1,0
0,0,3,1,0,0,0,0,23,1,0
40,1,3,1,0,1,1,0,26,0,1
52,1,2,0,0,0,0,0,31,1,0
52,1,3,1,1,0,0,0,35,1,0
52,1,2,0,0,0,0,0,33,0,1
0,0,2,0,0,0,0,0,28,1,0
52,1,2,0,0,0,0,0,23,1,0
0,0,2,0,0,1,0,0,30,1,0
0,0,5,1,0,1,0,1,32,1,0
0,0,2,0,0,1,0,0,28,1,0
52,1,2,0,0,0,0,0,26,1,0
0,0,2,0,0,0,0,0,21,0,1
24,1,2,0,0,1,1,0,23,1,0
0,0,2,0,0,1,0,0,21,1,0
0,0,3,1,0,0,1,0,24,0,0
52,1,3,1,0,0,1,0,30,1,0
0,0,2,0,0,1,0,0,28,1,0
42,1,4,1,0,1,0,0,32,1,0
0,0,2,0,0,1,0,0,22,0,0
52,1,3,1,0,0,0,0,35,0,1
40,1,3,1,0,0,0,0,26,1,0
0,0,2,0,0,0,0,0,35,0,1
0,0,3,1,0,0,0,0,26,1,0
0,0,3,1,0,1,0,0,33,0,0
36,1,3,1,0,1,0,0,32,0,0
24,1,3,1,0,1,0,0,34,1,0
0,0,3,1,0,0,0,0,34,0,1
48,1,3,1,0,0,1,0,34,0,1
1,1,2,0,0,0,0,0,26,1,0
0,0,3,1,0,1,0,0,32,1,0
0,0,2,0,0,0,0,0,28,1,0
0,0,3,1,0,0,0,0,34,1,0
0,0,2,0,0,1,0,0,35,1,0
33,1,3,1,0,1,0,0,35,0,1
50,1,2,0,0,0,0,0,30,0,1
3,1,2,0,0,1,0,0,24,0,1
38,1,2,0,0,0,0,0,35,0,1
0,0,2,0,0,1,0,0,34,0,1
52,1,2,0,0,1,0,0,32,0,1
10,1,3,1,0,0,0,0,34,1,0
52,1,2,0,0,0,0,0,27,0,1
0,0,2,0,0,1,0,0,34,0,1
0,0,3,1,0,0,0,1,25,0,0
20,1,5,1,0,0,0,0,29,0,0
36,1,2,0,0,0,0,0,30,0,1
52,1,2,0,0,0,1,0,35,0,1
30,1,3,1,0,1,0,1,35,0,0
52,1,2,0,0,0,0,0,30,1,0
24,1,2,0,0,0,1,0,22,1,0
0,0,3,1,0,1,0,0,29,0,1
25,1,3,1,0,1,0,0,26,1,0
0,0,2,0,0,1,0,1,26,0,0
0,0,2,0,0,0,0,0,30,1,0
0,0,4,1,0,1,0,1,29,0,0
0,0,2,0,0,0,0,0,28,0,0
44,1,3,1,0,1,0,0,29,0,1
3,1,2,0,0,0,0,0,32,0,1
0,0,2,0,0,1,0,1,22,0,0
0,0,2,0,0,0,0,0,28,0,1
20,1,2,0,0,1,0,0,31,0,1
0,0,3,1,0,0,0,0,30,0,0
0,0,3,1,0,1,0,0,32,0,1
52,1,2,0,0,1,1,0,28,0,1
0,0,2,0,0,1,0,0,29,0,1
0,0,2,0,0,0,0,0,29,0,1
52,1,2,0,0,1,0,0,33,1,0
22,1,2,0,0,0,0,0,33,1,0
47,1,3,1,0,0,0,0,27,1,0
48,1,2,0,0,0,0,0,33,1,0
0,0,5,1,0,1,0,0,33,0,0
0,0,2,0,0,1,0,0,33,0,1
0,0,2,0,0,1,0,0,23,0,0
52,1,3,1,0,1,1,0,28,1,0
52,1,2,0,0,0,0,0,28,1,0
0,0,2,0,0,1,0,0,32,1,0
0,0,2,0,0,0,0,0,30,1,0
49,1,2,0,0,1,1,0,31,1,0
0,0,2,0,0,1,0,0,32,0,0
0,0,2,0,0,0,0,0,27,0,1
0,0,2,0,0,0,0,0,30,1,0
0,0,3,1,0,1,0,0,28,1,0
0,0,2,0,0,0,0,0,29,1,0
0,0,4,1,0,0,0,0,35,1,0
18,1,2,0,0,0,0,0,29,0,1
32,1,4,1,0,1,0,0,32,0,1
8,1,2,0,0,1,0,0,33,1,0
0,0,2,0,0,1,0,0,33,1,0
52,1,4,1,0,1,1,0,34,0,0
0,0,3,1,0,0,0,0,25,1,0
20,1,5,1,0,1,0,0,33,1,0
12,1,2,0,0,1,0,0,34,1,0
0,0,2,0,0,1,0,0,33,1,0
0,0,2,0,0,1,0,0,25,1,0
12,1,2,0,0,0,0,0,25,0,1
0,0,2,0,0,0,1,0,27,1,0
32,1,4,1,0,1,0,0,31,0,0
52,1,2,0,0,0,1,0,34,1,0
52,1,3,1,0,0,1,0,32,0,1
0,0,5,1,0,1,0,0,29,0,0
52,1,3,1,0,0,0,0,34,0,0
0,0,2,0,0,1,1,0,35,0,0
0,0,2,0,0,0,0,0,24,1,0
26,1,2,0,0,0,0,0,23,0,0
40,1,2,0,0,0,0,0,34,0,1
0,0,4,1,0,1,0,0,33,0,1
8,1,2,0,0,0,0,0,27,1,0
0,0,2,0,0,0,0,0,24,1,0
32,1,2,0,0,0,0,0,34,1,0
27,1,2,0,0,0,1,0,28,1,0
37,1,2,0,0,0,0,0,28,0,1
52,1,2,0,0,1,0,0,29,0,1
52,1,2,0,0,0,0,0,28,1,0
0,0,2,0,0,0,0,0,32,1,0
0,0,2,0,0,0,0,0,30,1,0
22,1,2,0,0,1,0,0,29,0,0
48,1,2,0,0,1,0,0,31,1,0
44,1,3,1,0,1,1,0,33,0,1
52,1,2,0,0,0,0,0,29,1,0
0,0,2,0,0,1,0,0,33,0,1
0,0,3,1,0,1,0,0,28,0,0
52,1,3,1,0,0,0,0,30,0,0
0,0,2,0,0,0,0,0,34,0,1
10,1,3,1,0,1,0,0,33,1,0
2,1,2,0,0,1,0,0,24,0,1
0,0,3,1,0,1,0,0,31,1,0
0,0,3,1,0,1,0,0,32,0,1
52,1,2,0,0,1,0,0,32,0,1
15,1,2,0,0,1,0,0,23,1,0
0,0,2,0,0,0,0,0,30,0,1
12,1,2,0,0,1,0,0,29,1,0
0,0,3,1,0,0,0,0,33,1,0
0,0,2,0,0,0,0,0,34,0,1
0,0,2,0,0,0,0,0,24,1,0
0,0,2,0,0,1,0,0,31,1,0
0,0,4,1,0,1,0,0,30,1,0
52,1,2,0,0,1,0,0,25,0,0
0,0,3,1,0,1,0,0,32,0,1
52,1,2,0,0,0,1,0,27,1,0
52,1,2,0,0,1,0,0,35,0,1
0,0,2,0,0,0,0,0,34,0,1
0,0,2,0,0,0,0,0,33,1,0
0,0,3,1,0,0,1,0,27,1,0
52,1,2,0,0,1,0,0,33,0,1
26,1,2,0,0,1,0,0,35,1,0
0,0,3,1,0,1,1,0,34,1,0
0,0,2,0,0,1,0,0,32,1,0
0,0,3,1,0,1,0,0,32,0,0
52,1,2,0,0,0,0,0,35,0,0
0,0,2,0,0,0,0,0,28,0,0
12,1,4,1,0,1,0,0,30,1,0
6,1,3,1,0,1,0,0,35,0,1
52,1,2,0,0,0,0,1,22,1,0
0,0,2,0,0,0,0,0,25,1,0
0,0,2,0,0,0,0,0,35,1,0
0,0,4,1,0,1,0,0,28,0,0
0,0,2,0,0,0,0,0,33,1,0
18,1,2,0,0,0,0,0,35,0,1
0,0,2,0,0,1,0,0,30,1,0
52,1,4,1,1,1,0,0,34,0,0
0,0,5,1,0,1,0,0,32,1,0
46,1,2,0,0,1,0,0,31,1,0
0,0,2,0,0,1,1,0,30,0,1
2,1,3,1,0,0,0,0,25,0,0
0,0,3,1,0,1,0,0,27,0,0
30,1,3,1,0,1,0,0,33,1,0
0,0,2,0,0,0,0,0,24,0,0
0,0,3,1,0,0,0,0,34,0,1
16,1,2,0,0,1,0,0,32,0,1
52,1,2,0,0,1,0,0,33,0,1
52,1,3,1,0,1,0,0,33,0,1
2,1,2,0,0,1,0,0,22,1,0
44,1,2,0,0,0,0,0,34,1,0
52,1,3,1,0,1,0,0,31,0,1
28,1,2,0,0,0,0,0,32,1,0
0,0,4,1,0,0,0,0,32,0,0
49,1,2,0,0,1,0,0,31,1,0
52,1,2,0,0,0,0,0,32,1,0
0,0,2,0,0,1,0,1,27,1,0
1,1,3,1,0,1,0,1,26,0,0
36,1,3,1,0,0,0,0,27,0,1
0,0,2,0,0,0,0,0,29,1,0
50,1,4,1,0,1,0,0,31,1,0
52,1,2,0,0,0,0,0,27,0,1
46,1,2,0,0,0,0,0,29,1,0
24,1,2,0,0,1,0,0,35,0,1
0,0,2,0,0,0,0,0,26,1,0
26,1,4,1,0,0,1,0,30,1,0
0,0,3,1,0,0,0,0,30,1,0
0,0,2,0,0,1,0,0,34,0,1
0,0,2,0,0,0,0,0,32,1,0
0,0,3,1,0,0,0,0,32,0,1
0,0,2,0,0,0,0,0,31,1,0
14,1,2,0,0,1,0,0,34,1,0
13,1,2,0,0,0,0,0,32,0,1
0,0,2,0,0,0,0,0,31,0,1
0,0,2,0,0,1,0,0,35,1,0
0,0,3,1,0,1,0,0,33,0,1
4,1,2,0,0,1,0,0,29,1,0
22,1,2,0,0,0,0,0,34,0,1
52,1,2,0,0,0,1,0,33,0,1
0,0,2,0,0,1,0,0,29,1,0
42,1,3,1,0,1,1,0,34,0,0
43,1,2,0,0,0,0,0,34,1,0
40,1,3,1,0,0,0,0,31,0,0
18,1,3,1,0,0,0,0,35,0,1
20,1,2,0,0,1,0,0,31,1,0
12,1,2,0,0,0,0,0,33,1,0
3,1,2,0,0,0,0,0,32,1,0
20,1,2,0,0,1,0,0,30,1,0
0,0,3,1,0,0,0,0,28,1,0
0,0,2,0,0,1,0,0,32,0,1
43,1,2,0,0,0,1,0,32,1,0
12,1,7,1,0,1,0,0,30,0,1
0,0,2,0,0,0,0,0,26,0,1
8,1,4,1,0,1,0,0,24,1,0
0,0,2,0,0,0,0,0,28,1,0
40,1,3,1,0,1,0,0,34,0,1
12,1,3,1,0,0,0,0,30,0,0
52,1,2,0,0,0,0,0,29,0,1
0,0,2,0,0,0,0,0,30,0,1
50,1,4,1,0,1,1,0,35,0,0
0,0,2,0,0,1,0,0,31,1,0
7,1,3,1,0,0,1,0,23,0,0
40,1,3,1,0,0,1,0,35,1,0
8,1,3,1,0,0,0,0,24,1,0
48,1,2,0,0,0,1,0,31,1,0
0,0,2,0,0,1,0,0,31,0,1
28,1,3,1,0,1,0,0,25,0,1
0,0,2,0,0,0,0,0,27,0,1
