treat,age,ed,black,hisp,married,nodeg,re74,re75,re78,age2
1,29,10,0,1,0,1,0.0,8853.673828125,5112.01416015625,841
0,18,9,1,0,0,1,0.0,0.0,12486.169921875,324
0,28,11,1,0,1,1,824.388916015625,10033.91015625,0.0,784
1,19,11,1,0,0,1,0.0,0.0,7458.10498046875,361
1,27,12,1,0,0,0,2143.4130859375,357.949890136719,22163.25,729
0,28,11,1,0,0,1,2431.94897460938,863.4794921875,0.0,784
0,17,8,1,0,0,1,0.0,0.0,8993.865234375,289
1,33,12,1,0,1,0,20279.94921875,10941.349609375,15952.599609375,1089
0,20,11,1,0,0,1,8009.1640625,7666.875,7659.2177734375,400
0,24,10,1,0,0,1,0.0,0.0,0.0,576
0,19,10,0,1,0,1,0.0,0.0,0.0,361
0,23,10,1,0,1,1,0.0,0.0,0.0,529
1,24,9,1,0,0,1,9154.7001953125,2288.67504882813,4849.55908203125,576
1,27,10,1,0,0,1,1001.14599609375,3550.07495117188,0.0,729
0,25,11,1,0,0,1,0.0,0.0,0.0,625
0,19,11,1,0,0,1,1626.623046875,0.0,0.0,361
0,24,7,1,0,0,1,0.0,0.0,1455.68994140625,576
0,26,10,1,0,1,1,6140.3671875,558.773376464844,0.0,676
0,18,10,1,0,0,1,0.0,0.0,11048.080078125,324
1,23,8,0,0,1,1,0.0,1713.15002441406,4232.30908203125,529
0,25,10,1,0,0,1,0.0,0.0,7367.0400390625,625
0,32,11,1,0,0,1,0.0,0.0,11120.5302734375,1024
1,22,11,0,0,0,1,0.0,0.0,1048.43200683594,484
0,30,8,1,0,0,1,0.0,1706.6569824218802,0.0,900
0,19,9,1,0,0,1,8409.626953125,1778.08898925781,7171.0,361
1,28,10,1,0,0,1,0.0,2836.50610351563,3196.57104492188,784
0,26,12,1,0,1,0,0.0,0.0,6191.94287109375,676
0,21,11,1,0,0,1,0.0,0.0,1553.291015625,441
0,20,9,1,0,0,1,0.0,0.0,5193.0888671875,400
0,23,12,0,1,0,0,5721.69580078125,8960.68359375,7078.17822265625,529
1,26,10,1,0,0,1,0.0,0.0,9265.7880859375,676
1,23,12,1,0,0,0,6269.3408203125,3039.9599609375,8484.2392578125,529
0,24,11,0,0,0,1,2669.72509765625,1468.3830566406302,10361.6904296875,576
0,23,10,1,0,0,1,0.0,0.0,0.0,529
1,31,9,1,0,0,1,0.0,1698.60705566406,10363.26953125,961
0,24,11,1,0,0,1,0.0,0.0,0.0,576
0,20,12,1,0,0,0,557.698791503906,1371.47302246094,20893.109375,400
0,25,12,1,0,0,0,0.0,0.0,3418.09692382813,625
0,20,9,1,0,0,1,0.0,0.0,2035.91394042969,400
0,31,10,1,0,1,1,0.0,0.0,0.0,961
0,22,12,1,0,0,0,4380.01708984375,2003.68005371094,439.688110351563,484
1,17,10,1,0,0,1,0.0,0.0,0.0,289
1,46,13,1,0,0,0,0.0,0.0,647.20458984375,2116
0,17,11,0,0,0,1,0.0,0.0,0.0,289
0,24,8,0,0,0,1,0.0,0.0,10569.26953125,576
1,30,11,1,0,1,1,0.0,0.0,590.781799316406,900
0,25,11,1,0,1,1,0.0,0.0,44.7554588317871,625
0,25,9,0,1,0,1,0.0,0.0,15791.1298828125,625
0,45,9,1,0,0,1,0.0,0.0,4844.80322265625,2025
0,34,12,1,0,0,0,0.0,0.0,2113.72192382813,1156
1,35,9,1,0,1,1,13602.4296875,13830.6396484375,12803.9697265625,1225
1,38,9,0,0,0,1,0.0,0.0,6408.9501953125,1444
0,24,10,1,0,0,1,0.0,0.0,0.0,576
0,26,11,1,0,0,1,4699.962890625,1174.99096679688,6672.02099609375,676
0,20,7,0,1,0,1,0.0,0.0,4374.0400390625,400
1,21,12,1,0,0,0,0.0,0.0,1254.58203125,441
0,36,10,1,0,0,1,0.0,0.0,0.0,1296
0,44,9,1,0,1,1,12260.7802734375,10857.240234375,12359.3095703125,1936
1,21,8,1,0,0,1,989.267822265625,3695.89697265625,4279.61279296875,441
1,19,10,0,0,0,1,0.0,5324.10888671875,13829.6201171875,361
1,25,11,1,0,1,1,0.0,0.0,1574.42395019531,625
0,25,11,0,1,1,1,0.0,0.0,4485.6162109375,625
1,25,11,0,0,0,1,0.0,0.0,18783.349609375,625
0,42,10,1,0,0,1,0.0,0.0,6930.3359375,1764
0,21,8,1,0,0,1,39570.6796875,6608.30419921875,3083.5810546875,441
0,18,8,0,1,0,1,0.0,0.0,10798.5595703125,324
0,32,12,0,1,1,0,0.0,0.0,6735.31982421875,1024
1,25,14,1,0,1,0,35040.0703125,11536.5703125,36646.94921875,625
0,31,12,0,0,0,0,0.0,494.643005371094,0.0,961
0,29,12,1,0,0,0,0.0,0.0,1890.93701171875,841
1,27,10,1,0,1,1,0.0,0.0,18739.9296875,729
0,17,10,1,0,0,1,0.0,0.0,1143.38696289063,289
1,30,11,1,0,0,1,0.0,0.0,0.0,900
0,29,11,1,0,1,1,0.0,0.0,10225.8798828125,841
0,22,9,1,0,0,1,0.0,506.407592773438,604.19873046875,484
0,28,12,1,0,1,0,10585.1298828125,5551.4560546875,12780.01953125,784
0,19,11,1,0,0,1,0.0,0.0,0.0,361
1,24,10,1,0,0,1,0.0,0.0,0.0,576
1,22,9,0,1,0,1,0.0,0.0,3595.89404296875,484
0,26,10,1,0,0,1,0.0,0.0,3931.23803710938,676
0,19,12,1,0,0,0,0.0,0.0,0.0,361
1,27,10,0,1,0,1,0.0,0.0,11142.8701171875,729
0,43,10,1,0,0,1,2502.86791992188,4128.44287109375,7565.27294921875,1849
0,29,9,0,1,0,1,9594.3076171875,16341.16015625,16900.30078125,841
0,18,9,1,0,0,1,0.0,0.0,10740.080078125,324
0,25,10,1,0,0,1,0.0,0.0,0.0,625
0,25,10,1,0,0,1,0.0,0.0,289.789886474609,625
0,33,9,0,1,1,1,0.0,0.0,0.0,1089
0,26,12,1,0,0,0,0.0,0.0,0.0,676
1,25,12,1,0,0,0,0.0,0.0,11965.8095703125,625
1,21,9,1,0,0,1,6416.47021484375,5749.3310546875,743.666625976563,441
0,31,12,1,0,0,0,0.0,0.0,7284.39404296875,961
0,25,9,1,0,1,1,24731.619140625,16946.630859375,7343.9638671875,625
1,24,10,1,0,0,1,0.0,0.0,0.0,576
1,18,11,0,0,0,1,3678.23095703125,919.5579223632809,4321.705078125,324
1,25,11,1,0,0,1,0.0,0.0,485.229797363281,625
0,28,12,1,0,1,0,0.0,0.0,0.0,784
0,19,11,0,0,0,1,0.0,0.0,0.0,361
1,17,10,1,0,0,1,0.0,0.0,0.0,289
0,33,11,1,0,0,1,0.0,0.0,0.0,1089
1,20,11,1,0,0,1,16318.6201171875,1484.99401855469,6943.341796875,400
0,32,10,1,0,0,1,0.0,0.0,0.0,1024
0,31,11,1,0,0,1,17711.880859375,1726.44494628906,0.0,961
0,22,11,1,0,0,1,7914.130859375,1321.66003417969,2639.2900390625,484
0,23,10,1,0,0,1,0.0,0.0,0.0,529
1,20,9,0,1,0,1,12260.7802734375,5875.048828125,1358.64294433594,400
0,54,11,1,0,0,1,0.0,0.0,7812.52197265625,2916
1,25,12,1,0,0,0,0.0,0.0,0.0,625
0,26,12,0,0,0,0,0.0,0.0,12383.6796875,676
1,23,8,0,1,0,1,0.0,0.0,3881.28393554688,529
1,45,5,1,0,1,1,0.0,0.0,8546.71484375,2025
0,28,12,0,0,0,0,0.0,803.343017578125,16477.01953125,784
0,22,10,0,0,1,1,25720.919921875,23031.98046875,5448.80078125,484
0,23,11,1,0,0,1,7617.36181640625,5716.4072265625,10274.83984375,529
0,31,10,1,0,0,1,0.0,0.0,0.0,961
0,18,10,1,0,0,1,960.4268188476559,240.10670471191398,2891.66796875,324
0,24,4,0,1,0,1,0.0,0.0,3880.8330078125,576
1,21,9,1,0,0,1,0.0,0.0,0.0,441
1,25,12,0,0,0,0,0.0,0.0,5587.5029296875,625
1,25,11,1,0,0,1,0.0,0.0,9897.048828125,625
0,31,10,1,0,0,1,0.0,0.0,17014.58984375,961
0,18,12,1,0,0,0,0.0,1405.5119628906302,0.0,324
0,23,11,1,0,0,1,6382.30908203125,580.790100097656,0.0,529
0,20,8,1,0,0,1,0.0,0.0,3644.65502929688,400
1,20,12,1,0,0,0,0.0,377.568603515625,1652.6369628906302,400
1,17,8,1,0,0,1,0.0,0.0,8061.48486328125,289
1,28,11,1,0,0,1,0.0,1284.07897949219,60307.9296875,784
0,18,9,1,0,0,1,0.0,0.0,0.0,324
0,17,10,0,1,0,1,1203.60900878906,1239.62805175781,5088.98583984375,289
0,22,9,1,0,0,1,0.0,0.0,12898.3798828125,484
0,34,10,1,0,0,1,0.0,0.0,7952.5400390625,1156
0,24,11,1,0,0,1,0.0,1327.99304199219,9495.90234375,576
1,24,10,1,0,1,1,11703.2001953125,4078.15209960938,0.0,576
0,19,10,1,0,0,1,0.0,0.0,4309.8779296875,361
0,28,9,1,0,0,1,0.0,0.0,0.0,784
1,19,8,1,0,0,1,0.0,2657.05688476563,9970.6806640625,361
1,41,4,1,0,1,1,0.0,0.0,7284.98583984375,1681
0,23,11,1,0,0,1,0.0,0.0,0.0,529
1,26,11,1,0,1,1,0.0,2754.64599609375,26372.279296875,676
0,21,11,0,1,0,1,2992.53393554688,8920.470703125,20857.83984375,441
0,25,9,1,0,1,1,0.0,0.0,4715.37109375,625
0,21,9,0,0,0,1,2988.412109375,1577.1669921875,1740.1989746093802,441
1,29,12,1,0,0,0,9748.38671875,4878.93701171875,10976.509765625,841
0,45,11,1,0,0,1,0.0,0.0,11796.4697265625,2025
1,29,13,1,0,0,0,0.0,0.0,7479.65576171875,841
1,18,6,1,0,0,1,0.0,0.0,0.0,324
1,28,9,1,0,0,1,0.0,0.0,10694.2900390625,784
1,23,12,1,0,0,0,0.0,0.0,0.0,529
1,23,7,0,0,0,1,0.0,0.0,0.0,529
1,17,9,0,1,0,1,445.17041015625,74.3434524536133,6210.669921875,289
1,23,10,1,0,0,1,0.0,0.0,7693.39990234375,529
1,31,9,1,0,0,1,10717.0302734375,5517.8408203125,9558.5009765625,961
1,21,12,0,0,0,0,3670.8720703125,334.049407958984,12558.01953125,441
0,23,8,1,0,0,1,0.0,0.0,3746.70092773438,529
1,19,8,1,0,0,1,2636.35302734375,2937.26391601563,7535.94189453125,361
0,19,9,1,0,1,1,0.0,0.0,16658.25,361
1,20,10,1,0,0,1,5005.73095703125,2777.35498046875,5615.18896484375,400
1,23,11,1,0,0,1,0.0,0.0,0.0,529
0,33,12,1,0,0,0,0.0,0.0,5970.2568359375,1089
0,27,11,1,0,1,1,0.0,4491.8837890625,0.0,729
1,17,9,1,0,0,1,0.0,0.0,0.0,289
1,28,15,1,0,0,0,0.0,0.0,9598.541015625,784
1,26,12,1,0,1,0,8408.76171875,5794.8310546875,1424.94396972656,676
0,19,9,1,0,0,1,0.0,0.0,5712.64306640625,361
1,19,9,1,0,0,1,0.0,798.9078979492191,17685.1796875,361
0,25,10,1,0,1,1,0.0,0.0,3701.81201171875,625
1,27,11,1,0,0,1,0.0,0.0,7506.14599609375,729
1,18,9,1,0,0,1,0.0,3287.375,5010.341796875,324
0,28,10,1,0,1,1,8293.3447265625,6449.47998046875,16988.1796875,784
0,23,11,1,0,0,1,0.0,0.0,5088.759765625,529
1,30,12,1,0,0,0,0.0,0.0,24909.44921875,900
1,18,11,1,0,0,1,0.0,0.0,4814.626953125,324
0,25,10,1,0,1,1,0.0,0.0,0.0,625
0,36,12,1,0,0,0,0.0,142.39729309082,0.0,1296
0,23,10,1,0,0,1,0.0,0.0,0.0,529
1,25,13,1,0,0,0,12362.9296875,3090.73193359375,0.0,625
1,18,11,1,0,0,1,858.254272460938,214.56359863281298,929.883911132813,324
1,25,8,1,0,0,1,0.0,0.0,0.0,625
0,24,12,1,0,0,0,0.0,159.884704589844,0.0,576
0,18,9,1,0,0,1,0.0,0.0,0.0,324
1,27,9,1,0,0,1,0.0,0.0,0.0,729
0,34,13,1,0,1,0,0.0,0.0,5193.2470703125,1156
0,22,11,1,0,0,1,0.0,0.0,0.0,484
0,18,11,1,0,0,1,0.0,0.0,11303.1396484375,324
0,22,10,1,0,0,1,0.0,0.0,0.0,484
0,28,11,1,0,0,1,17491.44921875,13371.25,0.0,784
1,21,12,0,0,0,0,0.0,0.0,8048.60302734375,441
0,17,10,0,1,0,1,0.0,0.0,8469.275390625,289
1,37,9,1,0,0,1,0.0,0.0,1067.50598144531,1369
0,20,10,1,0,0,1,0.0,0.0,2015.50305175781,400
0,28,13,1,0,0,0,0.0,0.0,0.0,784
1,27,13,0,0,1,0,9381.56640625,853.7224731445309,0.0,729
1,19,9,1,0,0,1,0.0,0.0,8173.908203125,361
0,20,11,0,1,0,1,0.0,0.0,6378.72021484375,400
0,23,11,1,0,0,1,0.0,1896.02294921875,5573.546875,529
0,27,8,1,0,0,1,0.0,0.0,3783.65991210938,729
0,24,9,1,0,0,1,2788.498046875,0.0,16461.5703125,576
1,38,12,0,0,0,0,0.0,0.0,4941.84912109375,1444
0,22,12,1,0,0,0,0.0,0.0,0.0,484
0,22,8,0,1,0,1,0.0,0.0,9920.9453125,484
0,17,10,1,0,0,1,0.0,0.0,0.0,289
0,25,10,1,0,0,1,0.0,0.0,20942.240234375,625
1,22,12,0,1,1,0,492.23049926757795,7055.7021484375,10092.830078125,484
1,25,12,1,0,0,0,0.0,0.0,3191.7529296875,625
0,19,11,1,0,0,1,0.0,0.0,0.0,361
0,18,10,1,0,0,1,0.0,0.0,781.2243041992191,324
1,25,5,1,0,0,1,0.0,0.0,6181.8798828125,625
0,19,12,1,0,0,0,8417.0,2814.19506835938,1720.9069824218802,361
1,46,8,1,0,1,1,0.0,0.0,3094.15600585938,2116
1,43,9,1,0,0,1,0.0,0.0,0.0,1849
1,19,11,1,0,0,1,2305.02587890625,2615.27587890625,4146.60302734375,361
1,31,11,1,0,1,1,0.0,0.0,8087.48681640625,961
0,23,10,1,0,0,1,0.0,0.0,0.0,529
1,17,8,1,0,0,1,0.0,0.0,0.0,289
0,55,3,1,0,0,1,0.0,0.0,5843.7958984375,3025
1,22,16,1,0,0,0,0.0,0.0,2164.02197265625,484
1,27,9,1,0,1,1,0.0,934.4453735351559,1773.42297363281,729
1,42,14,1,0,0,0,0.0,0.0,20505.9296875,1764
0,17,9,1,0,0,1,0.0,0.0,3590.70190429688,289
0,19,10,0,0,0,1,0.0,0.0,3194.01000976563,361
0,17,11,1,0,0,1,0.0,0.0,8551.533203125,289
0,30,14,1,0,1,0,0.0,0.0,7344.67822265625,900
1,44,11,1,0,0,1,0.0,0.0,0.0,1936
0,27,12,0,0,0,0,0.0,0.0,14792.900390625,729
0,19,11,1,0,0,1,721.340576171875,2445.58911132813,9772.283203125,361
0,25,11,1,0,0,1,15209.990234375,3072.72607421875,284.65838623046903,625
0,39,12,1,0,1,0,0.0,0.0,3795.79907226563,1521
0,23,8,1,0,0,1,7724.283203125,3403.05590820313,0.0,529
0,27,7,1,0,1,1,0.0,0.0,0.0,729
0,17,10,1,0,0,1,0.0,664.5689697265631,0.0,289
1,38,11,1,0,0,1,0.0,0.0,0.0,1444
0,27,11,1,0,0,1,3065.19409179688,766.298583984375,0.0,729
0,18,9,1,0,0,1,0.0,0.0,9227.0517578125,324
1,40,11,1,0,0,1,0.0,0.0,23005.599609375,1600
0,18,10,1,0,0,1,0.0,0.0,202.284698486328,324
0,18,10,1,0,0,1,1716.5090332031302,2682.125,0.0,324
0,44,11,1,0,0,1,0.0,0.0,0.0,1936
0,30,12,1,0,0,0,0.0,0.0,13613.349609375,900
0,24,12,1,0,0,0,0.0,0.0,0.0,576
1,48,4,1,0,0,1,0.0,0.0,6551.591796875,2304
0,22,8,1,0,0,1,0.0,0.0,1390.5090332031302,484
0,25,8,1,0,0,1,0.0,0.0,3515.92895507813,625
1,22,9,1,0,0,1,0.0,0.0,4056.49389648438,484
0,23,11,1,0,0,1,0.0,0.0,4350.9072265625,529
0,17,11,1,0,0,1,989.267822265625,165.207702636719,4251.126953125,289
1,27,13,1,0,0,0,0.0,0.0,14581.8603515625,729
1,37,11,1,0,1,1,0.0,0.0,9930.0458984375,1369
0,19,9,0,1,0,1,0.0,0.0,3811.68310546875,361
0,34,10,1,0,1,1,0.0,0.0,0.0,1156
1,25,11,1,0,0,1,0.0,0.0,0.0,625
1,17,10,1,0,0,1,1291.46801757813,5793.85205078125,5522.7880859375,289
0,17,8,0,0,0,1,0.0,0.0,10210.990234375,289
1,24,11,1,0,0,1,0.0,0.0,995.7001953125,576
0,32,8,1,0,0,1,0.0,0.0,7152.1318359375,1024
1,31,9,0,1,0,1,0.0,0.0,26817.599609375,961
0,39,11,1,0,0,1,0.0,83.68963623046879,0.0,1521
0,28,10,1,0,0,1,1471.29296875,367.823394775391,4858.89501953125,784
0,30,11,1,0,1,1,0.0,9311.9384765625,3982.80102539063,900
1,24,10,1,0,0,1,4250.40185546875,2421.94702148438,1660.5080566406302,576
0,18,11,1,0,0,1,1064.69897460938,645.272277832031,5497.5908203125,324
1,17,7,1,0,0,1,0.0,0.0,3023.87890625,289
1,27,8,1,0,0,1,0.0,0.0,0.0,729
1,27,11,1,0,0,1,0.0,0.0,0.0,729
0,18,9,1,0,0,1,0.0,0.0,0.0,324
1,17,9,1,0,0,1,0.0,0.0,1953.26794433594,289
0,25,11,1,0,0,1,0.0,0.0,1264.23205566406,625
0,20,12,1,0,0,0,0.0,591.815124511719,4159.9189453125,400
1,20,11,1,0,0,1,3637.498046875,1220.83605957031,1085.43994140625,400
1,27,13,1,0,0,0,0.0,0.0,0.0,729
1,24,11,1,0,1,1,824.3886108398441,1666.1130371093802,4032.7080078125,576
1,17,10,1,0,0,1,0.0,0.0,0.0,289
1,25,10,1,0,0,1,0.0,0.0,0.0,625
0,29,9,1,0,0,1,0.0,1203.82397460938,9378.6533203125,841
0,31,10,1,0,0,1,0.0,520.4462890625,14527.8798828125,961
1,26,11,1,0,0,1,0.0,0.0,17230.9609375,676
1,33,11,1,0,1,1,14660.7099609375,25142.240234375,4181.94189453125,1089
0,36,10,1,0,0,1,0.0,0.0,14690.349609375,1296
1,20,11,1,0,0,1,0.0,0.0,3972.5400390625,400
0,21,14,1,0,0,0,0.0,0.0,5775.06201171875,441
1,25,11,1,0,1,1,0.0,0.0,0.0,625
1,20,9,1,0,0,1,6083.994140625,0.0,8881.6650390625,400
0,19,11,1,0,0,1,6337.4921875,4503.06396484375,0.0,361
0,19,10,1,0,0,1,0.0,0.0,5286.39599609375,361
0,39,9,1,0,0,1,0.0,0.0,0.0,1521
0,17,10,1,0,0,1,0.0,0.0,2657.705078125,289
1,17,9,1,0,0,1,1716.5090332031302,1253.43896484375,5445.2001953125,289
0,22,9,1,0,0,1,0.0,0.0,0.0,484
1,28,8,1,0,0,1,0.0,0.0,0.0,784
0,21,9,1,0,0,1,31886.4296875,12357.2197265625,0.0,441
1,26,12,1,0,0,0,0.0,0.0,10747.349609375,676
0,18,10,1,0,0,1,1563.2490234375,0.0,9602.439453125,324
1,29,10,1,0,0,1,0.0,4398.9501953125,0.0,841
0,35,10,1,0,0,1,0.0,0.0,445.830902099609,1225
0,18,8,1,0,0,1,0.0,0.0,1568.15002441406,324
0,20,6,1,0,0,1,6006.87890625,2850.61010742188,0.0,400
0,25,10,1,0,1,1,13519.9697265625,9319.4443359375,0.0,625
0,17,11,1,0,0,1,4080.72998046875,3796.02905273438,0.0,289
0,25,11,1,0,0,1,5281.2451171875,0.0,0.0,625
0,28,9,1,0,1,1,10222.41015625,9210.447265625,1239.84399414063,784
0,22,10,1,0,0,1,0.0,2174.955078125,5344.02099609375,484
1,29,12,1,0,0,0,10881.9404296875,1817.28405761719,0.0,841
0,26,11,1,0,0,1,0.0,0.0,7176.18701171875,676
0,19,11,1,0,0,1,3504.01391601563,3285.67993164063,11195.9296875,361
0,38,10,1,0,0,1,0.0,0.0,12429.91015625,1444
0,22,11,1,0,1,1,0.0,0.0,1698.3039550781302,484
1,23,12,1,0,0,0,5506.30810546875,501.074096679688,671.331787109375,529
0,36,11,0,1,0,1,5443.73388671875,3063.8779296875,1324.5419921875,1296
1,26,11,1,0,1,1,0.0,1392.85302734375,1460.35998535156,676
1,22,9,1,0,0,1,2192.876953125,3836.98608398438,3462.56396484375,484
0,18,9,0,0,0,1,0.0,559.596008300781,7300.498046875,324
0,21,9,1,0,0,1,591.499084472656,0.0,3343.22412109375,441
1,35,10,1,0,0,1,0.0,0.0,4666.23583984375,1225
1,26,10,1,0,1,1,2027.9990234375,0.0,0.0,676
0,20,12,1,0,0,0,0.0,0.0,0.0,400
0,20,10,1,0,0,1,0.0,0.0,8598.5224609375,400
1,42,9,1,0,1,1,0.0,3058.53100585938,1294.40905761719,1764
0,20,9,0,1,0,1,0.0,0.0,8329.8232421875,400
0,27,13,0,0,0,0,5214.30615234375,474.501800537109,4812.576171875,729
1,18,10,1,0,0,1,2143.41088867188,1784.27404785156,11141.3896484375,324
1,17,10,1,0,0,1,0.0,0.0,16218.0400390625,289
1,28,11,1,0,0,1,1929.0290527343802,6871.85595703125,0.0,784
1,24,11,1,0,0,1,0.0,0.0,1991.40002441406,576
1,21,12,1,0,0,0,6473.68310546875,3332.40893554688,9371.037109375,441
1,31,4,1,0,0,1,8517.5888671875,4023.2109375,7382.548828125,961
0,38,8,1,0,0,1,0.0,0.0,0.0,1444
0,19,10,1,0,1,1,0.0,0.0,12797.669921875,361
0,18,10,0,1,0,1,0.0,0.0,6527.9189453125,324
0,26,5,1,0,0,1,0.0,0.0,0.0,676
1,29,4,1,0,0,1,0.0,0.0,762.9146118164059,841
0,31,12,1,0,0,0,0.0,5613.9091796875,0.0,961
0,17,8,1,0,0,1,0.0,0.0,7010.44384765625,289
0,28,11,0,1,1,1,3472.94799804688,0.0,6771.6220703125,784
0,29,9,1,0,0,1,9268.943359375,9160.693359375,0.0,841
1,26,10,1,0,0,1,25929.6796875,6788.9580078125,672.8773193359381,676
1,18,10,1,0,0,1,0.0,798.9078979492191,9737.154296875,324
0,18,11,1,0,0,1,0.0,0.0,4657.27294921875,324
0,26,11,1,0,1,1,0.0,4184.73193359375,0.0,676
1,17,8,1,0,0,1,0.0,0.0,0.0,289
0,25,11,1,0,0,1,0.0,0.0,4196.375,625
1,29,8,1,0,0,1,0.0,0.0,1923.93798828125,841
1,41,14,0,0,0,0,0.0,0.0,5149.5009765625,1681
1,23,12,1,0,1,0,0.0,0.0,5911.55078125,529
0,27,13,1,0,0,0,0.0,0.0,7609.51806640625,729
1,27,11,1,0,0,1,0.0,0.0,549.298400878906,729
0,17,9,1,0,0,1,0.0,2595.26708984375,0.0,289
0,34,11,1,0,1,1,0.0,0.0,6040.3349609375,1156
1,25,12,1,0,0,0,0.0,0.0,2348.97290039063,625
0,26,6,1,0,0,1,0.0,0.0,4813.0498046875,676
1,18,11,1,0,0,1,0.0,0.0,0.0,324
0,17,10,1,0,0,1,0.0,0.0,2189.42602539063,289
